Godina,Grad,Sport,Disciplina,Takmicar,Zemlja,Pol,Dogadjaj,Medalja
"1972,Sapporo,Ice Hockey,Ice Hockey,""DZURILLA, Vladimir"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""FARDA, Richard"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HLINKA, Ivan"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HOLECEK, Jiri"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HOLIK, Jaroslav"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HOLIK, Jiri"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HORESOVSKY, Josef"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""KOCHTA, Jiri"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MACHAC, Oldrich"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MARTINEC, Vladimir"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""NEDOMANSKY, Vaclav"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""NOVAK, Eduard"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""POSPISIL, Frantisek"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""STASTNY, Bohuslav"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""TAJCNAR, Rudolf"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""VOHRALIK, Karel"",TCH,Muskarac,Ice Hockey,Bronza"
"1972,Sapporo,Ice Hockey,Ice Hockey,""BLINOV, Yuri"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""DAVIDOV, Vitali"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""FIRSOV, Anatoli"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""KHARLAMOV, Valery"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""KOUSKINE, Viktor"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""LUTCHENKO, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MALTSEV, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MIKHAYLOV, Boris"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MISHAKOV, Evgeni"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""PACHKOV, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""PETROV, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""RAGULIN, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""ROMICHEVSKY, Igor"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""SHADRIN, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""TRETYAK, Vladislav"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""TSYGANKOV, Gennady"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""VASILYEV, Valery"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""VIKULOV, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""YAKUSHEV, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""ZIMIN, Evgeni"",URS,Muskarac,Ice Hockey,Zlato"
"1972,Sapporo,Ice Hockey,Ice Hockey,""AHEARN, Kevin Joseph"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""BOUCHA, Henry"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""BROWN, Charles Erwin"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""CHRISTIANSEN, Keith"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""CURRAN, Michael"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""FTOREK, Robbie"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HOWE, Mark"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""HYMANSON, Jeffrey"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""IRVING, Stuart"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MCELMURY, James"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MCGLYNN, Richard"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""MELLOR, Thomas"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""NÄSLUND, Ronald"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""OLDS, Walter"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""SANDERS, Franklynn"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""SARNER, Craig"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""SEARS, Peter"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Ice Hockey,Ice Hockey,""SHEEHY, Timothy"",USA,Muskarac,Ice Hockey,Srebro"
"1972,Sapporo,Luge,Luge,""BONSACK, Klaus"",GDR,Muskarac,Doubles,Bronza"
"1972,Sapporo,Luge,Luge,""FIEDLER, Wolfram"",GDR,Muskarac,Doubles,Bronza"
"1972,Sapporo,Luge,Luge,""BREDOW, Reinhard"",GDR,Muskarac,Doubles,Zlato"
"1972,Sapporo,Luge,Luge,""HÖRNLEIN, Horst"",GDR,Muskarac,Doubles,Zlato"
"1972,Sapporo,Luge,Luge,""HILDGARTNER, Paul"",ITA,Muskarac,Doubles,Zlato"
"1972,Sapporo,Luge,Luge,""PLAIKNER, Walter"",ITA,Muskarac,Doubles,Zlato"
"1972,Sapporo,Luge,Luge,""FIEDLER, Wolfram"",GDR,Muskarac,Singles,Bronza"
"1972,Sapporo,Luge,Luge,""SCHEIDEL, Wolfgang"",GDR,Muskarac,Singles,Zlato"
"1972,Sapporo,Luge,Luge,""EHRIG, Harald"",GDR,Muskarac,Singles,Srebro"
"1972,Sapporo,Luge,Luge,""SCHUMANN, Margit"",GDR,Zena,Singles,Bronza"
"1972,Sapporo,Luge,Luge,""MÜLLER, Anna-Maria"",GDR,Zena,Singles,Zlato"
"1972,Sapporo,Luge,Luge,""RÜHROLD, Ute"",GDR,Zena,Singles,Srebro"
"1972,Sapporo,Skating,Figure skating,""PERA, Patrick"",FRA,Muskarac,Individual,Bronza"
"1972,Sapporo,Skating,Figure skating,""NEPELA, Ondrej"",TCH,Muskarac,Individual,Zlato"
"1972,Sapporo,Skating,Figure skating,""CHETVERUKHIN, Sergey"",URS,Muskarac,Individual,Srebro"
"1972,Sapporo,Skating,Figure skating,""LYNN, Janet"",USA,Zena,Individual,Bronza"
"1972,Sapporo,Skating,Figure skating,""SCHUBA, Beatrix"",AUT,Zena,Individual,Zlato"
"1972,Sapporo,Skating,Figure skating,""MAGNUSSEN, Karen"",CAN,Zena,Individual,Srebro"
"1972,Sapporo,Skating,Figure skating,""GROSS, Manuela"",GDR,Zena,Pairs,Bronza"
"1972,Sapporo,Skating,Figure skating,""KAGELMANN, Uwe"",GDR,Muskarac,Pairs,Bronza"
"1972,Sapporo,Skating,Figure skating,""RODNINA, Irina"",URS,Zena,Pairs,Zlato"
"1972,Sapporo,Skating,Figure skating,""ULANOV, Aleksey"",URS,Muskarac,Pairs,Zlato"
"1972,Sapporo,Skating,Figure skating,""SMIRNOVA, Lyudmila"",URS,Zena,Pairs,Srebro"
"1972,Sapporo,Skating,Figure skating,""SURAYKIN, Andrey"",URS,Muskarac,Pairs,Srebro"
"1972,Sapporo,Skating,Speed skating,""STENSEN, Sten"",NOR,Muskarac,10000M,Bronza"
"1972,Sapporo,Skating,Speed skating,""SCHENK, Ard"",NED,Muskarac,10000M,Zlato"
"1972,Sapporo,Skating,Speed skating,""VERKERK, Cornelis"",NED,Muskarac,10000M,Srebro"
"1972,Sapporo,Skating,Speed skating,""HENNING, Anne"",USA,Zena,1000M,Bronza"
"1972,Sapporo,Skating,Speed skating,""HOLZNER-GAWENUS, Monika"",FRG,Zena,1000M,Zlato"
"1972,Sapporo,Skating,Speed skating,""DEELSTRA, Atje"",NED,Zena,1000M,Srebro"
"1972,Sapporo,Skating,Speed skating,""CLAESSON, Göran"",SWE,Muskarac,1500M,Bronza"
"1972,Sapporo,Skating,Speed skating,""SCHENK, Ard"",NED,Muskarac,1500M,Zlato"
"1972,Sapporo,Skating,Speed skating,""GRÖNVOLD, Roar"",NOR,Muskarac,1500M,Srebro"
"1972,Sapporo,Skating,Speed skating,""DEELSTRA, Atje"",NED,Zena,1500M,Bronza"
"1972,Sapporo,Skating,Speed skating,""HOLUM, Dianne"",USA,Zena,1500M,Zlato"
"1972,Sapporo,Skating,Speed skating,""KAISER, Christina"",NED,Zena,1500M,Srebro"
"1972,Sapporo,Skating,Speed skating,""DEELSTRA, Atje"",NED,Zena,3000M,Bronza"
"1972,Sapporo,Skating,Speed skating,""KAISER, Christina"",NED,Zena,3000M,Zlato"
"1972,Sapporo,Skating,Speed skating,""HOLUM, Dianne"",USA,Zena,3000M,Srebro"
"1972,Sapporo,Skating,Speed skating,""STENSEN, Sten"",NOR,Muskarac,5000M,Bronza"
"1972,Sapporo,Skating,Speed skating,""SCHENK, Ard"",NED,Muskarac,5000M,Zlato"
"1972,Sapporo,Skating,Speed skating,""GRÖNVOLD, Roar"",NOR,Muskarac,5000M,Srebro"
"1972,Sapporo,Skating,Speed skating,""MURATOV, Valery"",URS,Muskarac,500M,Bronza"
"1972,Sapporo,Skating,Speed skating,""KELLER, Erhard"",FRG,Muskarac,500M,Zlato"
"1972,Sapporo,Skating,Speed skating,""BÖRJES, Hasse"",SWE,Muskarac,500M,Srebro"
"1972,Sapporo,Skating,Speed skating,""TITOVA, Lyudmila"",URS,Zena,500M,Bronza"
"1972,Sapporo,Skating,Speed skating,""HENNING, Anne"",USA,Zena,500M,Zlato"
"1972,Sapporo,Skating,Speed skating,""KRASNOVA, Vera"",URS,Zena,500M,Srebro"
"1972,Sapporo,Skiing,Alpine Skiing,""MESSNER, Heinrich"",AUT,Muskarac,Downhill,Bronza"
"1972,Sapporo,Skiing,Alpine Skiing,""RUSSI, Bernhard"",SUI,Muskarac,Downhill,Zlato"
"1972,Sapporo,Skiing,Alpine Skiing,""COLLOMBIN, Roland"",SUI,Muskarac,Downhill,Srebro"
"1972,Sapporo,Skiing,Alpine Skiing,""CORROCK, Susan"",USA,Zena,Downhill,Bronza"
"1972,Sapporo,Skiing,Alpine Skiing,""NADIG, Marie-Theres"",SUI,Zena,Downhill,Zlato"
"1972,Sapporo,Skiing,Alpine Skiing,""MOSER-PROLL, Annemarie"",AUT,Zena,Downhill,Srebro"
"1972,Sapporo,Skiing,Alpine Skiing,""MATTLE, Werner"",SUI,Muskarac,Giant Slalom,Bronza"
"1972,Sapporo,Skiing,Alpine Skiing,""THÖNI, Gustavo"",ITA,Muskarac,Giant Slalom,Zlato"
"1972,Sapporo,Skiing,Alpine Skiing,""BRUGGMANN, Edmund"",SUI,Muskarac,Giant Slalom,Srebro"
"1972,Sapporo,Skiing,Alpine Skiing,""DREXEL, Wiltrud"",AUT,Zena,Giant Slalom,Bronza"
"1972,Sapporo,Skiing,Alpine Skiing,""NADIG, Marie-Theres"",SUI,Zena,Giant Slalom,Zlato"
"1972,Sapporo,Skiing,Alpine Skiing,""MOSER-PROLL, Annemarie"",AUT,Zena,Giant Slalom,Srebro"
"1972,Sapporo,Skiing,Alpine Skiing,""THÖNI, Rolando"",ITA,Muskarac,Slalom,Bronza"
"1972,Sapporo,Skiing,Alpine Skiing,""FERNANDEZ OCHOA, Francisco"",ESP,Muskarac,Slalom,Zlato"
"1972,Sapporo,Skiing,Alpine Skiing,""THÖNI, Gustavo"",ITA,Muskarac,Slalom,Srebro"
"1972,Sapporo,Skiing,Alpine Skiing,""STEURER, Florence"",FRA,Zena,Slalom,Bronza"
"1972,Sapporo,Skiing,Alpine Skiing,""COCHRAN, Barbara"",USA,Zena,Slalom,Zlato"
"1972,Sapporo,Skiing,Alpine Skiing,""DEBERNARD, Danièle"",FRA,Zena,Slalom,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""KAJOSMAA, Marjatta"",FIN,Zena,10KM,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""KULAKOVA, Galina"",URS,Zena,10KM,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""OLYUNINA, Alevtina"",URS,Zena,10KM,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""FORMO, Ivar"",NOR,Muskarac,15KM,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""LUNDBÄCK, Sven-Aake"",SWE,Muskarac,15KM,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""SIMASHEV, Fyodor"",URS,Muskarac,15KM,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""HARVIKEN, Johs"",NOR,Muskarac,30KM Mass Start,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""VEDENIN, Vyacheslav"",URS,Muskarac,30KM Mass Start,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""TYLDUM, Paal"",NOR,Muskarac,30KM Mass Start,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""AUFLES, Inger"",NOR,Zena,3X5KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""DAHL, Aslaug"",NOR,Zena,3X5KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""MÖRDRE, Berit"",NOR,Zena,3X5KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""KULAKOVA, Galina"",URS,Zena,3X5KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""MUKHACHEVA, Lubov"",URS,Zena,3X5KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""OLYUNINA, Alevtina"",URS,Zena,3X5KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""KAJOSMAA, Marjatta"",FIN,Zena,3X5KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""RIIHIVUORI, Hilkka"",FIN,Zena,3X5KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""TAKALO, Helena"",FIN,Zena,3X5KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""GIGER, Albert"",SUI,Muskarac,4X10KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""HAUSER, Eduard"",SUI,Muskarac,4X10KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""KÄLIN, Alfred"",SUI,Muskarac,4X10KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""KÄLIN, Alois"",SUI,Muskarac,4X10KM Relay,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""SIMASHEV, Fyodor"",URS,Muskarac,4X10KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""SKOBOV, Yuri"",URS,Muskarac,4X10KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""VEDENIN, Vyacheslav"",URS,Muskarac,4X10KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""VORONKOV, Vladimir"",URS,Muskarac,4X10KM Relay,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""BRAA, Oddvar"",NOR,Muskarac,4X10KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""FORMO, Ivar"",NOR,Muskarac,4X10KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""HARVIKEN, Johs"",NOR,Muskarac,4X10KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""TYLDUM, Paal"",NOR,Muskarac,4X10KM Relay,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""VEDENIN, Vyacheslav"",URS,Muskarac,50KM,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""TYLDUM, Paal"",NOR,Muskarac,50KM,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""MYRMO, Magne"",NOR,Muskarac,50KM,Srebro"
"1972,Sapporo,Skiing,Cross Country Skiing,""SIKOLOVA, Helena"",TCH,Zena,5KM,Bronza"
"1972,Sapporo,Skiing,Cross Country Skiing,""KULAKOVA, Galina"",URS,Zena,5KM,Zlato"
"1972,Sapporo,Skiing,Cross Country Skiing,""KAJOSMAA, Marjatta"",FIN,Zena,5KM,Srebro"
"1972,Sapporo,Skiing,Nordic Combined,""LUCK, Karl-Heinz"",GDR,Muskarac,Individual,Bronza"
"1972,Sapporo,Skiing,Nordic Combined,""WEHLING, Ulrich"",GDR,Muskarac,Individual,Zlato"
"1972,Sapporo,Skiing,Nordic Combined,""MIETTINEN, Rauno"",FIN,Muskarac,Individual,Srebro"
"1972,Sapporo,Skiing,Ski Jumping,""SCHMIDT, Rainer"",GDR,Muskarac,K120 Individual (90M),Bronza"
"1972,Sapporo,Skiing,Ski Jumping,""FORTUNA, Wojciech"",POL,Muskarac,K120 Individual (90M),Zlato"
"1972,Sapporo,Skiing,Ski Jumping,""STEINER, Walter"",SUI,Muskarac,K120 Individual (90M),Srebro"
"1972,Sapporo,Skiing,Ski Jumping,""AOCHI, Seiji"",JPN,Muskarac,K90 Individual (70M),Bronza"
"1972,Sapporo,Skiing,Ski Jumping,""KASAYA, Yukio"",JPN,Muskarac,K90 Individual (70M),Zlato"
"1972,Sapporo,Skiing,Ski Jumping,""KONNO, Akitsugu"",JPN,Muskarac,K90 Individual (70M),Srebro"
"1976,Innsbruck,Biathlon,Biathlon,""YELIZAROV, Aleksandr"",URS,Muskarac,20KM,Bronza"
"1976,Innsbruck,Biathlon,Biathlon,""KRUGLOV, Nikolay"",URS,Muskarac,20KM,Zlato"
"1976,Innsbruck,Biathlon,Biathlon,""IKOLA, Heikki"",FIN,Muskarac,20KM,Srebro"
"1976,Innsbruck,Biathlon,Biathlon,""BEER, Manfred"",GDR,Muskarac,4X7.5KM Relay,Bronza"
"1976,Innsbruck,Biathlon,Biathlon,""GEYER, Manfred"",GDR,Muskarac,4X7.5KM Relay,Bronza"
"1976,Innsbruck,Biathlon,Biathlon,""MuskaracZ, Karl-Heinz"",GDR,Muskarac,4X7.5KM Relay,Bronza"
"1976,Innsbruck,Biathlon,Biathlon,""ULLRICH, Frank"",GDR,Muskarac,4X7.5KM Relay,Bronza"
"1976,Innsbruck,Biathlon,Biathlon,""BIAKOV, Ivan"",URS,Muskarac,4X7.5KM Relay,Zlato"
"1976,Innsbruck,Biathlon,Biathlon,""KRUGLOV, Nikolay"",URS,Muskarac,4X7.5KM Relay,Zlato"
"1976,Innsbruck,Biathlon,Biathlon,""TIKHONOV, Aleksandr"",URS,Muskarac,4X7.5KM Relay,Zlato"
"1976,Innsbruck,Biathlon,Biathlon,""YELIZAROV, Aleksandr"",URS,Muskarac,4X7.5KM Relay,Zlato"
"1976,Innsbruck,Biathlon,Biathlon,""FLÖJT, Henrik"",FIN,Muskarac,4X7.5KM Relay,Srebro"
"1976,Innsbruck,Biathlon,Biathlon,""IKOLA, Heikki"",FIN,Muskarac,4X7.5KM Relay,Srebro"
"1976,Innsbruck,Biathlon,Biathlon,""SAIRA, Esko"",FIN,Muskarac,4X7.5KM Relay,Srebro"
"1976,Innsbruck,Biathlon,Biathlon,""SUUTARINEN, Juhani"",FIN,Muskarac,4X7.5KM Relay,Srebro"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""BITTNER, Bodo"",FRG,Muskarac,Four-Man,Bronza"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""SCHUMANN, Manfred"",FRG,Muskarac,Four-Man,Bronza"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""UTZSCHNEIDER, Peter"",FRG,Muskarac,Four-Man,Bronza"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""ZIMMERER, Wolfgang"",FRG,Muskarac,Four-Man,Bronza"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""BABOCK, Jochen"",GDR,Muskarac,Four-Man,Zlato"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""GERMESHAUSEN, Bernhard"",GDR,Muskarac,Four-Man,Zlato"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""LEHMANN, Bernhard"",GDR,Muskarac,Four-Man,Zlato"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""NEHMER, Meinhard"",GDR,Muskarac,Four-Man,Zlato"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""BÄCHLI, Ulrich"",SUI,Muskarac,Four-Man,Srebro"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""BENZ, Joseph"",SUI,Muskarac,Four-Man,Srebro"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""MARTI, Rudolf"",SUI,Muskarac,Four-Man,Srebro"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""SCHÄRER, Erich"",SUI,Muskarac,Four-Man,Srebro"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""BENZ, Joseph"",SUI,Muskarac,Two-Man,Bronza"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""SCHÄRER, Erich"",SUI,Muskarac,Two-Man,Bronza"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""GERMESHAUSEN, Bernhard"",GDR,Muskarac,Two-Man,Zlato"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""NEHMER, Meinhard"",GDR,Muskarac,Two-Man,Zlato"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""SCHUMANN, Manfred"",FRG,Muskarac,Two-Man,Srebro"
"1976,Innsbruck,Bobsleigh,Bobsleigh,""ZIMMERER, Wolfgang"",FRG,Muskarac,Two-Man,Srebro"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""AUHUBER, Klaus"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""BERNDANER, Ignaz"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""BOOS, Wolfgang"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""FUNK, Lorenz"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""HINTERSTOCKER, Martin"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KEHLE, Anton"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KIESSLING, Udo"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KÖBERLE, Walter"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KÖPF, Ernst I"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KÜHNHACKL, Erich"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""METZ, Stefan"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""PHILIPP, Rainer"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""REINDL, Franz"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""SCHLODER, Alois"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""THANNER, Rudolf"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""VÖLK, Josef"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""VOZAR, Ferenc"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""WEISHAUPT, Erich"",FRG,Muskarac,Ice Hockey,Bronza"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""ALEKSANDROV, Boris"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""BABINOV, Sergey"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""GUSEV, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KAPUSTIN, Sergey"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""KHARLAMOV, Valery"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""LUTCHENKO, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""LYAPKIN, Yury"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""MALTSEV, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""MIKHAYLOV, Boris"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""PETROV, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""SHADRIN, Vladimir"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""SHALIMOV, Viktor"",URS,Muskarac,Ice Hockey,Zlato"
"1976,Innsbruck,Ice Hockey,Ice Hockey,""SIDELNIKOV, Aleksandr"",URS,Muskarac,Ice Hockey,Zlato"
